code,year,gdp_pc_pps,country
AT11,2000,16200.0,AT
AT12,2000,20000.0,AT
AT13,2000,33300.0,AT
AT21,2000,20500.0,AT
AT22,2000,21200.0,AT
AT31,2000,23400.0,AT
AT32,2000,26600.0,AT
AT33,2000,24300.0,AT
AT34,2000,25100.0,AT
BG31,2000,4700.0,BG
BG32,2000,4300.0,BG
BG33,2000,5100.0,BG
BG34,2000,5500.0,BG
BG41,2000,7200.0,BG
BG42,2000,4000.0,BG
CY00,2000,17700.0,CY
CZ01,2000,26400.0,CZ
CZ02,2000,13700.0,CZ
CZ03,2000,12700.0,CZ
CZ04,2000,11300.0,CZ
CZ05,2000,12200.0,CZ
CZ06,2000,12000.0,CZ
CZ07,2000,10900.0,CZ
CZ08,2000,10500.0,CZ
DE11,2000,29800.0,DE
DE12,2000,26600.0,DE
DE13,2000,22700.0,DE
DE14,2000,23800.0,DE
DE21,2000,34000.0,DE
DE22,2000,20800.0,DE
DE23,2000,22100.0,DE
DE24,2000,20200.0,DE
DE25,2000,25100.0,DE
DE26,2000,22100.0,DE
DE27,2000,22000.0,DE
DE30,2000,23000.0,DE
DE40,2000,15400.0,DE
DE50,2000,30200.0,DE
DE60,2000,41300.0,DE
DE71,2000,33600.0,DE
DE72,2000,20300.0,DE
DE73,2000,21000.0,DE
DE80,2000,14800.0,DE
DE91,2000,24800.0,DE
DE92,2000,22000.0,DE
DE93,2000,16500.0,DE
DE94,2000,20200.0,DE
DEA1,2000,25100.0,DE
DEA2,2000,26400.0,DE
DEA3,2000,19500.0,DE
DEA4,2000,22300.0,DE
DEA5,2000,20100.0,DE
DEB1,2000,19300.0,DE
DEB2,2000,17800.0,DE
DEB3,2000,22500.0,DE
DEC0,2000,21300.0,DE
DED2,2000,15600.0,DE
DED4,2000,14400.0,DE
DED5,2000,16500.0,DE
DEE0,2000,14500.0,DE
DEF0,2000,20500.0,DE
DEG0,2000,14600.0,DE
DK01,2000,28800.0,DK
DK02,2000,17000.0,DK
DK03,2000,21400.0,DK
DK04,2000,22100.0,DK
DK05,2000,20600.0,DK
EE00,2000,7800.0,EE
EL30,2000,19800.0,EL
EL41,2000,11300.0,EL
EL42,2000,18200.0,EL
EL43,2000,14100.0,EL
EL51,2000,12100.0,EL
EL52,2000,12800.0,EL
EL53,2000,14400.0,EL
EL54,2000,11900.0,EL
EL61,2000,11400.0,EL
EL62,2000,15700.0,EL
EL63,2000,12000.0,EL
EL64,2000,16900.0,EL
EL65,2000,13200.0,EL
ES11,2000,13900.0,ES
ES12,2000,14900.0,ES
ES13,2000,16800.0,ES
ES21,2000,22000.0,ES
ES22,2000,23100.0,ES
ES23,2000,20200.0,ES
ES24,2000,19100.0,ES
ES30,2000,23800.0,ES
ES41,2000,16200.0,ES
ES42,2000,14400.0,ES
ES43,2000,11800.0,ES
ES51,2000,21900.0,ES
ES52,2000,17100.0,ES
ES53,2000,22500.0,ES
ES61,2000,13300.0,ES
ES62,2000,15400.0,ES
ES63,2000,15000.0,ES
ES64,2000,15000.0,ES
ES70,2000,16800.0,ES
FI19,2000,19400.0,FI
FI1B,2000,30600.0,FI
FI1C,2000,20700.0,FI
FI1D,2000,17400.0,FI
FI20,2000,26500.0,FI
FR10,2000,34200.0,FR
FRB0,2000,19300.0,FR
FRC1,2000,18900.0,FR
FRC2,2000,19500.0,FR
FRD1,2000,18600.0,FR
FRD2,2000,19700.0,FR
FRE1,2000,16700.0,FR
FRE2,2000,17400.0,FR
FRF1,2000,21900.0,FR
FRF2,2000,20200.0,FR
FRF3,2000,17500.0,FR
FRG0,2000,19100.0,FR
FRH0,2000,18400.0,FR
FRI1,2000,19100.0,FR
FRI2,2000,17300.0,FR
FRI3,2000,17700.0,FR
FRJ1,2000,17300.0,FR
FRJ2,2000,18300.0,FR
FRK1,2000,17400.0,FR
FRK2,2000,22200.0,FR
FRL0,2000,20200.0,FR
FRM0,2000,17000.0,FR
FRY1,2000,13000.0,FR
FRY2,2000,12600.0,FR
FRY3,2000,11400.0,FR
FRY4,2000,12200.0,FR
HR02,2000,6900.0,HR
HR03,2000,8400.0,HR
HR05,2000,14200.0,HR
HR06,2000,7500.0,HR
HU11,2000,19300.0,HU
HU12,2000,8200.0,HU
HU21,2000,9500.0,HU
HU22,2000,11300.0,HU
HU23,2000,7400.0,HU
HU31,2000,6200.0,HU
HU32,2000,6600.0,HU
HU33,2000,7200.0,HU
IE04,2000,16800.0,IE
IE05,2000,22400.0,IE
IE06,2000,30200.0,IE
ITC1,2000,24000.0,IT
ITC2,2000,29600.0,IT
ITC3,2000,23700.0,IT
ITC4,2000,30400.0,IT
ITF1,2000,19600.0,IT
ITF2,2000,17600.0,IT
ITF3,2000,14900.0,IT
ITF4,2000,14700.0,IT
ITF5,2000,16200.0,IT
ITF6,2000,13400.0,IT
ITG1,2000,14100.0,IT
ITG2,2000,15400.0,IT
ITH1,2000,32800.0,IT
ITH2,2000,29800.0,IT
ITH3,2000,25700.0,IT
ITH4,2000,24100.0,IT
ITH5,2000,27800.0,IT
ITI1,2000,23900.0,IT
ITI2,2000,21800.0,IT
ITI3,2000,21200.0,IT
ITI4,2000,28300.0,IT
LT01,2000,9700.0,LT
LT02,2000,6200.0,LT
LU00,2000,45700.0,LU
LV00,2000,6500.0,LV
MT00,2000,15300.0,MT
NL11,2000,27900.0,NL
NL12,2000,19700.0,NL
NL13,2000,19600.0,NL
NL21,2000,21600.0,NL
NL22,2000,22600.0,NL
NL23,2000,19600.0,NL
NL32,2000,32800.0,NL
NL34,2000,19400.0,NL
NL35,2000,33700.0,NL
NL36,2000,27100.0,NL
NL41,2000,26300.0,NL
NL42,2000,22500.0,NL
PL21,2000,8000.0,PL
PL22,2000,9400.0,PL
PL41,2000,9500.0,PL
PL42,2000,8700.0,PL
PL43,2000,7900.0,PL
PL51,2000,9100.0,PL
PL52,2000,7400.0,PL
PL61,2000,7900.0,PL
